p,ct,sa,sigma1,alpha_smooth,beta_smooth,turner_ang,density_ratio,mixed_layer_final_mask,mixed_layer_temp_mask,mixed_layer_sal_mask,mixed_layer_sigma_mask,mixed_layer_mask,gradient_layer_final_mask,mixed_layer_step1_mask,grad_layer_step2_mask,grad_layer_step3_mask,grad_layer_step4_mask,mixed_layer_salt_finger_mask,gradient_layer_salt_finger_mask,mixed_layer_diffusive_convective_mask,gradient_layer_diffusive_convective_mask
1603.0,13.003822,38.74001,33.501516027642765,0.00023151515852521122,0.0007290421200508068,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1604.0,13.003822,38.74001,33.501516027642765,0.00023153203299586988,0.000729032403965242,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1605.0,13.003822,38.74001,33.501516027642765,0.00023154890676553894,0.0007290226883004418,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1606.0,13.003822,38.74001,33.501516027642765,0.00023156577983415524,0.000729012973056404,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1607.0,13.003822,38.74001,33.501516027642765,0.00023158265220165554,0.000729003258233126,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1608.0,13.003822,38.74001,33.501516027642765,0.00023159952386797656,0.0007289935438306045,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1609.0,13.003822,38.74001,33.501516027642765,0.0002316163948330553,0.0007289838298488375,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1610.0,13.003822,38.74001,33.501516027642765,0.0002316332650968285,0.0007289741162878221,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1611.0,13.003822,38.74001,33.501516027642765,0.00023165013465923303,0.0007289644031475555,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1612.0,13.003822,38.74001,33.501516027642765,0.00023166700352020582,0.0007289546904280355,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1613.0,13.003822,38.74001,33.501516027642765,0.00023168387167968386,0.0007289449781292594,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1614.0,13.003822,38.74001,33.501516027642765,0.0002317007391376039,0.0007289352662512242,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1615.0,13.003822,38.74001,33.501516027642765,0.00023171760589390302,0.0007289255547939275,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1616.0,13.003822,38.74001,33.501516027642765,0.00023173447194851812,0.0007289158437573667,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1617.0,13.003822,38.74001,33.501516027642765,0.00023175133730138627,0.0007289061331415391,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1618.0,13.003822,38.74001,33.501516027642765,0.00023176820195244444,0.0007288964229464424,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1619.0,13.003822,38.74001,33.501516027642765,0.00023178506590162964,0.0007288867131720736,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1620.0,13.003822,38.74001,33.501516027642765,0.0002318019291488789,0.0007288770038184301,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
